Cluster scores:
c0     61.033654
c1     66.084259
c2     22.517810
c3     72.383378
c4     73.768746
c5     62.792286
c6     61.092598
c7     46.760600
c8     74.391842
c9     57.567384
c10    54.976033
c11    53.553470
c12    79.829948
c13    56.991320
c14    72.574401
c15    80.237883
c16    73.126004
c17    61.952092
c18    24.911796
c19    24.400812
dtype: float64

Topic scores:
t0       4.154406
t1      61.029603
t2      56.443784
t3      69.951376
t4      13.523783
t5       0.813428
t6      30.333179
t7     162.476536
t8      84.859794
t9       3.640895
t10      5.214898
t11    106.483508
t12      0.218360
t13     34.223105
t14     67.246788
t15    321.636817
t16     57.755316
t17     61.236831
t18      2.244759
t19     37.459151
dtype: float64
